CounDist,average,total_yes,total_no,avg_yes,avg_no,name,borough,political_party,rank_2014_24,council_member,x2014_23,x2024,total_2014_24,average_total
11,60.06468443089293,60231,40045,60231,40045,Eric Dinowitz,Bronx,Democrat,14,Eric Dinowitz,2306,794,3100,above average
14,74.53449385435712,34720,11844,34720,11844,Pierina Ana Sanchez,Bronx,Democrat,7,Pierina Ana Sanchez,3469,1330,4799,above average
15,75.15712231997357,34770,11481,34770,11481,Oswald Feliz,Bronx,Democrat,1,Oswald Feliz,6370,1336,7706,above average
16,75.5115018978605,41588,13473,41588,13473,Althea Stevens,Bronx,Democrat,6,Althea Stevens,4435,591,5026,above average
17,75.50027610027887,39278,12729,39278,12729,Rafael Salamanca Jr.,Bronx,Democrat,2,Rafael Salamanca,7182,372,7554,above average
18,72.51583241188199,53311,20194,53311,20194,Amanda Farías,Bronx,Democrat,17,Amanda Farías,2523,174,2697,above average
26,63.413881476905985,67818,39121,67818,39121,Julie Won,Queens,Democrat,8,Julie Won,3432,1304,4736,above average
27,73.36078873236113,64074,23260,64074,23260,Dr. Nantasha Williams,Queens,Democrat,13,Nantasha Williams,3394,392,3786,above average
3,60.32270567798761,93229,61310,93229,61310,Erik Bottcher,Manhattan,Democrat,15,Erik Bottcher,2573,447,3020,above average
31,63.80647734335182,50061,28397,50061,28397,Selvena N. Brooks-Powers,Queens,Democrat,11,Selvena N. Brooks-Powers,3723,153,3876,above average
33,64.41323202845281,92826,51242,92826,51242,Lincoln Restler,Brooklyn,Democrat,5,Lincoln Restler,5435,276,5711,above average
34,65.7142316855146,84092,43843,84092,43843,Jennifer Gutiérrez,Brooklyn and Queens,Democrat,16,Jennifer Gutiérrez,2209,653,2862,above average
35,62.91911105280788,104691,61668,104691,61668,Crystal Hudson,Brooklyn,Democrat,9,Crystal Hudson,3911,186,4097,above average
36,63.588594513408914,80636,46147,80636,46147,Chi Ossé,Brooklyn,Democrat,19,Chi Ossé,2159,277,2436,above average
37,64.89418008378979,49809,26930,49809,26930,Sandy Nurse,Brooklyn,Democrat,10,Sandy Nurse,3903,177,4080,above average
40,62.162153870639166,73234,44560,73234,44560,Rita Joseph,Brooklyn,Democrat,18,Rita Joseph,2351,219,2570,above average
41,68.94048472569892,50826,22879,50826,22879,Darlene Mealy,Brooklyn,Democrat,12,Darlene Mealy,3368,471,3839,above average
42,72.34945249388187,46867,17903,46867,17903,Chris Banks,Brooklyn,Democrat,3,Chris Banks,5786,1439,7225,above average
8,69.72670670624093,54202,23512,54202,23512,Diana Ayala,Manhattan and Bronx,Democrat,4,Diana Ayala,5945,410,6355,above average
